subject,base_A,base_B,n_err_A,n_err_B,both_wrong,jaccard_err,disagreement_rate,acc_A,acc_B,n_trials
4,riemann_ts_1band,shallowconvnet_transfer,129,154,85,0.4292929292929293,0.3923611111111111,0.5520833333333334,0.4652777777777778,288
4,riemann_multiband_ts_pca,riemann_multiband_ts_l1,134,129,92,0.5380116959064327,0.2743055555555556,0.5347222222222222,0.5520833333333334,288
4,riemann_multiband_ts_pca,eegnet,134,174,85,0.3811659192825112,0.4791666666666667,0.5347222222222222,0.3958333333333333,288
4,riemann_multiband_ts_pca,shallowconvnet,134,165,87,0.41037735849056606,0.4340277777777778,0.5347222222222222,0.4270833333333333,288
4,riemann_multiband_ts_pca,eegnet_transfer,134,169,86,0.39631336405529954,0.4548611111111111,0.5347222222222222,0.4131944444444444,288
4,riemann_multiband_ts_pca,shallowconvnet_transfer,134,154,85,0.4187192118226601,0.4097222222222222,0.5347222222222222,0.4652777777777778,288
4,riemann_multiband_ts_l1,eegnet,129,174,79,0.35267857142857145,0.5034722222222222,0.5520833333333334,0.3958333333333333,288
4,riemann_multiband_ts_l1,shallowconvnet,129,165,84,0.4,0.4375,0.5520833333333334,0.4270833333333333,288
4,riemann_multiband_ts_l1,eegnet_transfer,129,169,81,0.37327188940092165,0.4722222222222222,0.5520833333333334,0.4131944444444444,288
4,riemann_multiband_ts_l1,shallowconvnet_transfer,129,154,79,0.3872549019607843,0.4340277777777778,0.5520833333333334,0.4652777777777778,288
4,eegnet,shallowconvnet,174,165,122,0.5622119815668203,0.3298611111111111,0.3958333333333333,0.4270833333333333,288
4,eegnet,eegnet_transfer,174,169,101,0.41735537190082644,0.4895833333333333,0.3958333333333333,0.4131944444444444,288
4,eegnet,shallowconvnet_transfer,174,154,104,0.4642857142857143,0.4166666666666667,0.3958333333333333,0.4652777777777778,288
4,shallowconvnet,eegnet_transfer,165,169,106,0.4649122807017544,0.4236111111111111,0.4270833333333333,0.4131944444444444,288
4,shallowconvnet,shallowconvnet_transfer,165,154,111,0.5336538461538461,0.3368055555555556,0.4270833333333333,0.4652777777777778,288
4,eegnet_transfer,shallowconvnet_transfer,169,154,112,0.5308056872037915,0.34375,0.4131944444444444,0.4652777777777778,288
5,fbcsp_rlda,riemann_ts_1band,145,183,107,0.4841628959276018,0.3958333333333333,0.4965277777777778,0.3645833333333333,288
5,fbcsp_rlda,riemann_multiband_ts_pca,145,165,103,0.4975845410628019,0.3611111111111111,0.4965277777777778,0.4270833333333333,288
5,fbcsp_rlda,riemann_multiband_ts_l1,145,194,108,0.4675324675324675,0.4270833333333333,0.4965277777777778,0.3263888888888889,288
5,fbcsp_rlda,eegnet,145,207,100,0.3968253968253968,0.5277777777777778,0.4965277777777778,0.28125,288
5,fbcsp_rlda,shallowconvnet,145,206,109,0.45041322314049587,0.4618055555555556,0.4965277777777778,0.2847222222222222,288
5,fbcsp_rlda,eegnet_transfer,145,203,106,0.4380165289256198,0.4722222222222222,0.4965277777777778,0.2951388888888889,288
5,fbcsp_rlda,shallowconvnet_transfer,145,185,100,0.43478260869565216,0.4513888888888889,0.4965277777777778,0.3576388888888889,288
5,riemann_ts_1band,riemann_multiband_ts_pca,183,165,130,0.5963302752293578,0.3055555555555556,0.3645833333333333,0.4270833333333333,288
5,riemann_ts_1band,riemann_multiband_ts_l1,183,194,145,0.625,0.3020833333333333,0.3645833333333333,0.3263888888888889,288
5,riemann_ts_1band,eegnet,183,207,134,0.5234375,0.4236111111111111,0.3645833333333333,0.28125,288
5,riemann_ts_1band,shallowconvnet,183,206,134,0.5254901960784314,0.4201388888888889,0.3645833333333333,0.2847222222222222,288
5,riemann_ts_1band,eegnet_transfer,183,203,125,0.4789272030651341,0.4722222222222222,0.3645833333333333,0.2951388888888889,288
5,riemann_ts_1band,shallowconvnet_transfer,183,185,129,0.5397489539748954,0.3819444444444444,0.3645833333333333,0.3576388888888889,288
5,riemann_multiband_ts_pca,riemann_multiband_ts_l1,165,194,140,0.639269406392694,0.2743055555555556,0.4270833333333333,0.3263888888888889,288
5,riemann_multiband_ts_pca,eegnet,165,207,123,0.4939759036144578,0.4375,0.4270833333333333,0.28125,288
5,riemann_multiband_ts_pca,shallowconvnet,165,206,125,0.508130081300813,0.4201388888888889,0.4270833333333333,0.2847222222222222,288
5,riemann_multiband_ts_pca,eegnet_transfer,165,203,118,0.472,0.4583333333333333,0.4270833333333333,0.2951388888888889,288
5,riemann_multiband_ts_pca,shallowconvnet_transfer,165,185,115,0.48936170212765956,0.4166666666666667,0.4270833333333333,0.3576388888888889,288
5,riemann_multiband_ts_l1,eegnet,194,207,141,0.5423076923076923,0.4131944444444444,0.3263888888888889,0.28125,288
5,riemann_multiband_ts_l1,shallowconvnet,194,206,144,0.5625,0.3888888888888889,0.3263888888888889,0.2847222222222222,288
5,riemann_multiband_ts_l1,eegnet_transfer,194,203,140,0.5447470817120622,0.40625,0.3263888888888889,0.2951388888888889,288
5,riemann_multiband_ts_l1,shallowconvnet_transfer,194,185,131,0.5282258064516129,0.40625,0.3263888888888889,0.3576388888888889,288
5,eegnet,shallowconvnet,207,206,157,0.61328125,0.34375,0.28125,0.2847222222222222,288
5,eegnet,eegnet_transfer,207,203,151,0.583011583011583,0.375,0.28125,0.2951388888888889,288
5,eegnet,shallowconvnet_transfer,207,185,139,0.549407114624506,0.3958333333333333,0.28125,0.3576388888888889,288
5,shallowconvnet,eegnet_transfer,206,203,155,0.610236220472441,0.34375,0.2847222222222222,0.2951388888888889,288
5,shallowconvnet,shallowconvnet_transfer,206,185,147,0.6024590163934426,0.3368055555555556,0.2847222222222222,0.3576388888888889,288
5,eegnet_transfer,shallowconvnet_transfer,203,185,138,0.552,0.3888888888888889,0.2951388888888889,0.3576388888888889,288
6,fbcsp_rlda,riemann_ts_1band,127,135,87,0.49714285714285716,0.3055555555555556,0.5590277777777778,0.53125,288
6,fbcsp_rlda,riemann_multiband_ts_pca,127,134,82,0.4581005586592179,0.3368055555555556,0.5590277777777778,0.5347222222222222,288
6,fbcsp_rlda,riemann_multiband_ts_l1,127,135,76,0.40860215053763443,0.3819444444444444,0.5590277777777778,0.53125,288
6,fbcsp_rlda,eegnet,127,194,95,0.42035398230088494,0.4548611111111111,0.5590277777777778,0.3263888888888889,288
6,fbcsp_rlda,shallowconvnet,127,195,95,0.4185022026431718,0.4583333333333333,0.5590277777777778,0.3229166666666667,288
6,fbcsp_rlda,eegnet_transfer,127,156,82,0.4079601990049751,0.4131944444444444,0.5590277777777778,0.4583333333333333,288
6,fbcsp_rlda,shallowconvnet_transfer,127,154,86,0.441025641025641,0.3784722222222222,0.5590277777777778,0.4652777777777778,288
6,riemann_ts_1band,riemann_multiband_ts_pca,135,134,97,0.563953488372093,0.2604166666666667,0.53125,0.5347222222222222,288
6,riemann_ts_1band,riemann_multiband_ts_l1,135,135,93,0.5254237288135594,0.2916666666666667,0.53125,0.53125,288
6,riemann_ts_1band,eegnet,135,194,100,0.4366812227074236,0.4479166666666667,0.53125,0.3263888888888889,288
6,riemann_ts_1band,shallowconvnet,135,195,99,0.42857142857142855,0.4583333333333333,0.53125,0.3229166666666667,288
6,riemann_ts_1band,eegnet_transfer,135,156,78,0.36619718309859156,0.46875,0.53125,0.4583333333333333,288
6,riemann_ts_1band,shallowconvnet_transfer,135,154,84,0.4097560975609756,0.4201388888888889,0.53125,0.4652777777777778,288
6,riemann_multiband_ts_pca,riemann_multiband_ts_l1,134,135,89,0.49444444444444446,0.3159722222222222,0.5347222222222222,0.53125,288
6,riemann_multiband_ts_pca,eegnet,134,194,97,0.4199134199134199,0.4652777777777778,0.5347222222222222,0.3263888888888889,288
6,riemann_multiband_ts_pca,shallowconvnet,134,195,103,0.4557522123893805,0.4270833333333333,0.5347222222222222,0.3229166666666667,288
6,riemann_multiband_ts_pca,eegnet_transfer,134,156,84,0.4077669902912621,0.4236111111111111,0.5347222222222222,0.4583333333333333,288
6,riemann_multiband_ts_pca,shallowconvnet_transfer,134,154,90,0.45454545454545453,0.375,0.5347222222222222,0.4652777777777778,288
6,riemann_multiband_ts_l1,eegnet,135,194,100,0.4366812227074236,0.4479166666666667,0.53125,0.3263888888888889,288
6,riemann_multiband_ts_l1,shallowconvnet,135,195,98,0.4224137931034483,0.4652777777777778,0.53125,0.3229166666666667,288
6,riemann_multiband_ts_l1,eegnet_transfer,135,156,88,0.43349753694581283,0.3993055555555556,0.53125,0.4583333333333333,288
6,riemann_multiband_ts_l1,shallowconvnet_transfer,135,154,85,0.4166666666666667,0.4131944444444444,0.53125,0.4652777777777778,288
6,eegnet,shallowconvnet,194,195,137,0.5436507936507936,0.3993055555555556,0.3263888888888889,0.3229166666666667,288
6,eegnet,eegnet_transfer,194,156,113,0.4767932489451477,0.4305555555555556,0.3263888888888889,0.4583333333333333,288
6,eegnet,shallowconvnet_transfer,194,154,117,0.5064935064935064,0.3958333333333333,0.3263888888888889,0.4652777777777778,288
6,shallowconvnet,eegnet_transfer,195,156,103,0.4153225806451613,0.5034722222222222,0.3229166666666667,0.4583333333333333,288
6,shallowconvnet,shallowconvnet_transfer,195,154,121,0.5307017543859649,0.3715277777777778,0.3229166666666667,0.4652777777777778,288
6,eegnet_transfer,shallowconvnet_transfer,156,154,110,0.55,0.3125,0.4583333333333333,0.4652777777777778,288
7,fbcsp_rlda,riemann_ts_1band,50,94,29,0.25217391304347825,0.2986111111111111,0.8263888888888888,0.6736111111111112,288
7,fbcsp_rlda,riemann_multiband_ts_pca,50,88,28,0.2545454545454545,0.2847222222222222,0.8263888888888888,0.6944444444444444,288
7,fbcsp_rlda,riemann_multiband_ts_l1,50,56,25,0.30864197530864196,0.19444444444444445,0.8263888888888888,0.8055555555555556,288
7,fbcsp_rlda,eegnet,50,114,28,0.20588235294117646,0.375,0.8263888888888888,0.6041666666666666,288
7,fbcsp_rlda,shallowconvnet,50,88,28,0.2545454545454545,0.2847222222222222,0.8263888888888888,0.6944444444444444,288
7,fbcsp_rlda,eegnet_transfer,50,163,30,0.16393442622950818,0.53125,0.8263888888888888,0.4340277777777778,288
7,fbcsp_rlda,shallowconvnet_transfer,50,143,35,0.22151898734177214,0.4270833333333333,0.8263888888888888,0.5034722222222222,288
7,riemann_ts_1band,riemann_multiband_ts_pca,94,88,61,0.5041322314049587,0.20833333333333334,0.6736111111111112,0.6944444444444444,288
7,riemann_ts_1band,riemann_multiband_ts_l1,94,56,37,0.3274336283185841,0.2638888888888889,0.6736111111111112,0.8055555555555556,288
7,riemann_ts_1band,eegnet,94,114,54,0.35064935064935066,0.3472222222222222,0.6736111111111112,0.6041666666666666,288
7,riemann_ts_1band,shallowconvnet,94,88,39,0.2727272727272727,0.3611111111111111,0.6736111111111112,0.6944444444444444,288
7,riemann_ts_1band,eegnet_transfer,94,163,65,0.3385416666666667,0.4409722222222222,0.6736111111111112,0.4340277777777778,288
7,riemann_ts_1band,shallowconvnet_transfer,94,143,64,0.3699421965317919,0.3784722222222222,0.6736111111111112,0.5034722222222222,288
7,riemann_multiband_ts_pca,riemann_multiband_ts_l1,88,56,34,0.3090909090909091,0.2638888888888889,0.6944444444444444,0.8055555555555556,288
7,riemann_multiband_ts_pca,eegnet,88,114,46,0.2948717948717949,0.3819444444444444,0.6944444444444444,0.6041666666666666,288
7,riemann_multiband_ts_pca,shallowconvnet,88,88,41,0.3037037037037037,0.3263888888888889,0.6944444444444444,0.6944444444444444,288
7,riemann_multiband_ts_pca,eegnet_transfer,88,163,59,0.3072916666666667,0.4618055555555556,0.6944444444444444,0.4340277777777778,288
7,riemann_multiband_ts_pca,shallowconvnet_transfer,88,143,61,0.3588235294117647,0.3784722222222222,0.6944444444444444,0.5034722222222222,288
7,riemann_multiband_ts_l1,eegnet,56,114,33,0.24087591240875914,0.3611111111111111,0.8055555555555556,0.6041666666666666,288
7,riemann_multiband_ts_l1,shallowconvnet,56,88,35,0.3211009174311927,0.2569444444444444,0.8055555555555556,0.6944444444444444,288
7,riemann_multiband_ts_l1,eegnet_transfer,56,163,34,0.1837837837837838,0.5243055555555556,0.8055555555555556,0.4340277777777778,288
7,riemann_multiband_ts_l1,shallowconvnet_transfer,56,143,36,0.22085889570552147,0.4409722222222222,0.8055555555555556,0.5034722222222222,288
7,eegnet,shallowconvnet,114,88,44,0.27848101265822783,0.3958333333333333,0.6041666666666666,0.6944444444444444,288
7,eegnet,eegnet_transfer,114,163,75,0.3712871287128713,0.4409722222222222,0.6041666666666666,0.4340277777777778,288
7,eegnet,shallowconvnet_transfer,114,143,66,0.34554973821989526,0.4340277777777778,0.6041666666666666,0.5034722222222222,288
7,shallowconvnet,eegnet_transfer,88,163,55,0.28061224489795916,0.4895833333333333,0.6944444444444444,0.4340277777777778,288
7,shallowconvnet,shallowconvnet_transfer,88,143,62,0.3668639053254438,0.3715277777777778,0.6944444444444444,0.5034722222222222,288
7,eegnet_transfer,shallowconvnet_transfer,163,143,97,0.46411483253588515,0.3888888888888889,0.4340277777777778,0.5034722222222222,288
8,fbcsp_rlda,riemann_ts_1band,35,53,18,0.2571428571428571,0.18055555555555555,0.8784722222222222,0.8159722222222222,288
8,fbcsp_rlda,riemann_multiband_ts_pca,35,57,17,0.22666666666666666,0.2013888888888889,0.8784722222222222,0.8020833333333334,288
8,fbcsp_rlda,riemann_multiband_ts_l1,35,47,15,0.22388059701492538,0.18055555555555555,0.8784722222222222,0.8368055555555556,288
8,fbcsp_rlda,eegnet,35,70,20,0.23529411764705882,0.22569444444444445,0.8784722222222222,0.7569444444444444,288
8,fbcsp_rlda,shallowconvnet,35,92,19,0.17592592592592593,0.3090277777777778,0.8784722222222222,0.6805555555555556,288
8,fbcsp_rlda,eegnet_transfer,35,70,20,0.23529411764705882,0.22569444444444445,0.8784722222222222,0.7569444444444444,288
8,fbcsp_rlda,shallowconvnet_transfer,35,79,18,0.1875,0.2708333333333333,0.8784722222222222,0.7256944444444444,288
8,riemann_ts_1band,riemann_multiband_ts_pca,53,57,39,0.5492957746478874,0.1111111111111111,0.8159722222222222,0.8020833333333334,288
